trial,model,property,category,within_similarity,outside_similarity,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
38,axxl-property,can dax,bird.n.01,0.3186395764350891,0.4229472279548645,0.5118403434753418,0.27354803681373596,0.28315234184265137,2,-0.05034368857741356,-0.06454356759786606,-0.09606076031923294
39,axxl-property,can dax,bird.n.01,0.332919180393219,0.448264479637146,0.5141667127609253,0.2689034044742584,0.2566744089126587,2,-0.04476149380207062,-0.07856842130422592,-0.17135858535766602
40,axxl-property,can dax,bird.n.01,0.33067721128463745,0.4474799931049347,0.5220857858657837,0.2707555890083313,0.2845945954322815,2,-0.04383496567606926,-0.0736553743481636,-0.16558951139450073
41,axxl-property,can dax,bird.n.01,0.26403045654296875,0.3474600315093994,0.49834680557250977,0.28644034266471863,0.25704753398895264,2,-0.44302451610565186,-0.3013880252838135,-0.6757863759994507
42,axxl-property,can dax,bird.n.01,0.33523479104042053,0.4175416827201843,0.5080517530441284,0.2881818413734436,0.2507249712944031,2,-0.3347223699092865,-0.2157486528158188,-0.5282425284385681
43,axxl-property,can dax,bird.n.01,0.29938796162605286,0.40649929642677307,0.5231722593307495,0.29769307374954224,0.2719844877719879,2,-0.2325207144021988,-0.14328768849372864,-0.42617401480674744
44,axxl-property,can dax,bird.n.01,0.3002450466156006,0.39476579427719116,0.5093101263046265,0.27452772855758667,0.2635383605957031,2,-0.15557441115379333,-0.14255370199680328,-0.410752534866333
45,axxl-property,can dax,bird.n.01,0.28479182720184326,0.36782073974609375,0.522498607635498,0.2855609655380249,0.28202417492866516,3,-0.038695164024829865,-0.04328493773937225,-0.0634865015745163
46,axxl-property,can dax,bird.n.01,0.24809689819812775,0.32255473732948303,0.5837796926498413,0.3359043002128601,0.3086491823196411,1,-0.41996780037879944,-0.4595244228839874,-0.6630152463912964
47,axxl-property,can dax,bird.n.01,0.24459810554981232,0.29780009388923645,0.5580228567123413,0.32131311297416687,0.27982303500175476,2,-0.18844573199748993,-0.26561540365219116,-0.39536526799201965
48,axxl-property,can dax,bird.n.01,0.29316362738609314,0.36914584040641785,0.5559018850326538,0.31101566553115845,0.2536390721797943,2,-0.13125893473625183,-0.16864296793937683,-0.3519980013370514
49,axxl-property,can dax,bird.n.01,0.32082656025886536,0.3755110204219818,0.5575737953186035,0.30901476740837097,0.2715277671813965,2,-0.1188260093331337,-0.14891767501831055,-0.22972002625465393
50,axxl-property,can dax,bird.n.01,0.3485245406627655,0.4170423150062561,0.5507627129554749,0.2999270260334015,0.30217355489730835,2,-0.10726350545883179,-0.15488792955875397,-0.23154577612876892
51,axxl-property,can dax,mammal.n.01,0.2642231583595276,0.24594034254550934,0.47058001160621643,0.28113317489624023,0.2711254358291626,2,-0.1739812046289444,-0.3111521601676941,-0.5317451357841492
52,axxl-property,can dax,mammal.n.01,0.3127827048301697,0.27059197425842285,0.42570292949676514,0.26204296946525574,0.24647802114486694,2,-0.10044372081756592,-0.21001338958740234,-0.41508886218070984
53,axxl-property,can dax,mammal.n.01,0.3420928418636322,0.2930343449115753,0.4298263490200043,0.27404531836509705,0.2622145116329193,2,-0.08153821527957916,-0.13956092298030853,-0.24587295949459076
54,axxl-property,can dax,mammal.n.01,0.3664504587650299,0.3232885003089905,0.42671334743499756,0.26912084221839905,0.25303971767425537,2,-0.07205533981323242,-0.12890011072158813,-0.27377837896347046
55,axxl-property,can dax,mammal.n.01,0.3691385090351105,0.3225049674510956,0.40829792618751526,0.2633821368217468,0.2591107487678528,3,-0.026742059737443924,-0.044552117586135864,-0.12105734646320343
56,axxl-property,can dax,mammal.n.01,0.24905243515968323,0.2976027727127075,0.4708199203014374,0.3011120855808258,0.2831036150455475,1,-0.1909986138343811,-0.25033801794052124,-0.5548303127288818
57,axxl-property,can dax,mammal.n.01,0.2865236699581146,0.2946709096431732,0.3974466919898987,0.2703099846839905,0.24819891154766083,2,-0.08255420625209808,-0.166351780295372,-0.2932719588279724
58,axxl-property,can dax,mammal.n.01,0.27474409341812134,0.27881118655204773,0.41051357984542847,0.27392494678497314,0.2647281587123871,2,-0.07330900430679321,-0.15589018166065216,-0.2506228983402252
