trial,model,property,category,n,similarity_within,similarity_similar,similarity_random,overlap_within,overlap_similar,overlap_random,stopping_epoch,logprob_within,logprob_similar,logprob_random
31,bl-property,can dax,bird.n.01,1,0.3033160865306854,0.3510451018810272,0.30247315764427185,0.5402956008911133,0.2950441539287567,0.29671037197113037,1,-0.3931159973144531,-0.375856876373291,-0.3711113929748535
32,bl-property,can dax,bird.n.01,2,0.3769242763519287,0.4267464876174927,0.3786039650440216,0.5248672366142273,0.2872304916381836,0.27884021401405334,3,-0.19655096530914307,-0.2320082038640976,-0.20583626627922058
33,bl-property,can dax,bird.n.01,3,0.4113079309463501,0.4577708840370178,0.4026348292827606,0.5280233025550842,0.2975877523422241,0.29505831003189087,3,-0.10848136246204376,-0.13635306060314178,-0.10006199777126312
34,bl-property,can dax,bird.n.01,4,0.44267624616622925,0.4973328709602356,0.4558151960372925,0.5253512263298035,0.28730282187461853,0.2931884229183197,3,-0.09888157248497009,-0.1171361654996872,-0.093051016330719
35,bl-property,can dax,bird.n.01,5,0.46980834007263184,0.5343595147132874,0.4868168234825134,0.5324581265449524,0.2924412786960602,0.28712067008018494,4,-0.05028875917196274,-0.07719305902719498,-0.06395907700061798
36,bl-property,can dax,bird.n.01,1,0.339275598526001,0.37519213557243347,0.3416997492313385,0.5208261013031006,0.28470832109451294,0.2970460057258606,1,-0.4277838170528412,-0.32325106859207153,-0.309795081615448
37,bl-property,can dax,bird.n.01,2,0.39174652099609375,0.4442501664161682,0.38733524084091187,0.4876774549484253,0.2573421001434326,0.2727685868740082,2,-0.23028409481048584,-0.2126483917236328,-0.21357278525829315
38,bl-property,can dax,bird.n.01,3,0.44725501537323,0.5064882040023804,0.45611366629600525,0.5118403434753418,0.2625349760055542,0.28315234184265137,2,-0.21113187074661255,-0.1779232919216156,-0.13387081027030945
39,bl-property,can dax,bird.n.01,4,0.4798991084098816,0.554892897605896,0.48167455196380615,0.5141665935516357,0.27508097887039185,0.2566744089126587,1,-0.38023221492767334,-0.23478364944458008,-0.32738178968429565
40,bl-property,can dax,bird.n.01,5,0.4955788254737854,0.5845502614974976,0.5099146962165833,0.5220857858657837,0.27351653575897217,0.2845945954322815,3,-0.10547978430986404,-0.09782472252845764,-0.10422826558351517
41,bl-property,can dax,bird.n.01,1,0.30550655722618103,0.3337009847164154,0.2825653553009033,0.49834686517715454,0.255144327878952,0.25704753398895264,2,-0.21688300371170044,-0.1931203007698059,-0.26239466667175293
42,bl-property,can dax,bird.n.01,2,0.3947918713092804,0.42371201515197754,0.38004693388938904,0.5080517530441284,0.2624002993106842,0.2507249712944031,2,-0.1882249116897583,-0.21060903370380402,-0.21035948395729065
43,bl-property,can dax,bird.n.01,3,0.45393964648246765,0.5066094994544983,0.4363430440425873,0.52317214012146,0.2745155096054077,0.2719844877719879,7,-0.15730929374694824,-0.20068301260471344,-0.18682292103767395
44,bl-property,can dax,bird.n.01,4,0.48422765731811523,0.5584850311279297,0.4893915355205536,0.5093100666999817,0.27098068594932556,0.2635383605957031,4,-0.07960501313209534,-0.09171605110168457,-0.09979122132062912
45,bl-property,can dax,bird.n.01,5,0.49204355478286743,0.5833812952041626,0.5029665231704712,0.522498607635498,0.27707022428512573,0.28202417492866516,4,-0.055435217916965485,-0.061295878142118454,-0.0514366514980793
46,bl-property,can dax,bird.n.01,1,0.37097033858299255,0.41815483570098877,0.3587939441204071,0.5837796926498413,0.3171326518058777,0.3086491823196411,2,-0.2875847816467285,-0.2568357288837433,-0.28892767429351807
47,bl-property,can dax,bird.n.01,2,0.40243831276893616,0.4593488276004791,0.3930251896381378,0.5580229163169861,0.283414363861084,0.27982303500175476,2,-0.20660454034805298,-0.21876530349254608,-0.2497548758983612
48,bl-property,can dax,bird.n.01,3,0.44503262639045715,0.5119187831878662,0.439791202545166,0.555901825428009,0.28618577122688293,0.2536390721797943,2,-0.19752563536167145,-0.18154799938201904,-0.19708460569381714
49,bl-property,can dax,bird.n.01,4,0.46336400508880615,0.5217114686965942,0.44906336069107056,0.5575737357139587,0.28304439783096313,0.2715277671813965,2,-0.20144815742969513,-0.18895338475704193,-0.1669982373714447
50,bl-property,can dax,bird.n.01,5,0.48262128233909607,0.5559419393539429,0.4593380391597748,0.5507628321647644,0.28614306449890137,0.30217355489730835,2,-0.21373938024044037,-0.18135304749011993,-0.18443357944488525
51,bl-property,can dax,mammal.n.01,1,0.2790472209453583,0.27067670226097107,0.24667201936244965,0.4705800712108612,0.29113510251045227,0.2711254358291626,2,-0.12195545434951782,-0.32383406162261963,-0.4287168085575104
52,bl-property,can dax,mammal.n.01,2,0.33600881695747375,0.3255040943622589,0.29868975281715393,0.42570292949676514,0.27350568771362305,0.24647802114486694,1,-0.15340806543827057,-0.38381025195121765,-0.5914246439933777
53,bl-property,can dax,mammal.n.01,3,0.4006279408931732,0.39788326621055603,0.35596132278442383,0.42982637882232666,0.2762361168861389,0.2622145116329193,1,-0.14221392571926117,-0.37136825919151306,-0.4362994432449341
